path,split,variant,model
temporal/als-biased-default,temporal,default,als-biased
temporal/als-biased-optuna-tuned,temporal,optuna-tuned,als-biased
temporal/als-implicit-default,temporal,default,als-implicit
temporal/als-implicit-optuna-tuned,temporal,optuna-tuned,als-implicit
temporal/bias-default,temporal,default,bias
temporal/bias-optuna-tuned,temporal,optuna-tuned,bias
temporal/flexmf-bpr-default,temporal,default,flexmf-bpr
temporal/flexmf-bpr-optuna-tuned,temporal,optuna-tuned,flexmf-bpr
temporal/flexmf-explicit-default,temporal,default,flexmf-explicit
temporal/flexmf-explicit-optuna-tuned,temporal,optuna-tuned,flexmf-explicit
temporal/flexmf-logistic-default,temporal,default,flexmf-logistic
temporal/flexmf-logistic-optuna-tuned,temporal,optuna-tuned,flexmf-logistic
temporal/flexmf-warp-default,temporal,default,flexmf-warp
temporal/flexmf-warp-optuna-tuned,temporal,optuna-tuned,flexmf-warp
temporal/iknn-explicit-default,temporal,default,iknn-explicit
temporal/iknn-explicit-optuna-tuned,temporal,optuna-tuned,iknn-explicit
temporal/iknn-implicit-default,temporal,default,iknn-implicit
temporal/iknn-implicit-optuna-tuned,temporal,optuna-tuned,iknn-implicit
temporal/popular-default,temporal,default,popular
temporal/slim-fs-default,temporal,default,slim-fs
temporal/slim-fs-optuna-tuned,temporal,optuna-tuned,slim-fs
